Madrid;La Supercopa de Espana se jugara en Arabia Saudi: Barcelona-Atletico y Valencia-Real Madrid;Ladislao J. Monino;72;1 NOV 2019 - 22:15;Deportes;
Washington;Woody Allen y Amazon ponen fin a su pleito con un acuerdo;Pablo Guimon;None;1 NOV 2019 - 21:21;Cultura;
None;El experimento que hermano a 42 equipos;Roger Sabates;None; NOV 2019 - 00:00;La Liga;
Hangzhou;El Dia del Soltero: la mayor jornada de compras de la historia;Jaime Santirso;4;1 NOV 2019 - 21:07;Economia;
None;Sorteo 11 del 11 de la ONCE 2019: consulta los numeros premiados;El Pais;None;1 NOV 2019 - 22:20;Actualidad;
None;Morales renuncia;El Pais;None;1 NOV 2019 - 13:12;Opinion;
None;La reforma del Estado;Juan Luis Cebrian;None;1 NOV 2019 - 00:36;Opinion;
None;Bloqueadores y bloqueados;Lluis Bassets;None;2 NOV 2019 - 00:00;Opinion;
None;Miedo;Almudena Grandes;None;1 NOV 2019 - 00:00;Opinion;
None;Voto de desorden;Victor Lapuente;None;1 NOV 2019 - 00:00;Opinion;
None;Pitonisa;Marta Sanz;None;1 NOV 2019 - 00:00;Opinion;
None;La derecha rehen;Sami Nair;None;1 NOV 2019 - 00:00;Opinion;
None;El loft sale del desvan;Alex Grijelmo;None;1 NOV 2019 - 00:00;Ideas;
None;El Roto;El Roto;None;1 NOV 2019 - 00:00;Opinion;
Madrid;Vox dice que entenderia que PP y Cs dejen gobernar a Sanchez y promete no chantajearles;Javier Casqueiro;1;1 NOV 2019 - 21:34;Espana;
None;El disputado escano de Melilla;Laura J. Varo;26;1 NOV 2019 - 20:24;Espana;
Madrid;El PSOE pierde la mayoria absoluta en el Senado, clave para aplicar el 155;Fernando J. Perez;49;1 NOV 2019 - 03:18;Espana;
Madrid;Tezanos no piensa dimitir: No soy adivino ni el CIS es una casa de adivinanzas;Pablo Ordaz;153;1 NOV 2019 - 19:44;Espana;
Sevilla;Juan Jose Cortes se queda fuera del Senado;Eva Saiz;21;1 NOV 2019 - 19:51;Espana;
Madrid;Videorrelato: La noche electoral explicada desde la Redaccion de EL PAIS;Luis Manuel Rivas;19;1 NOV 2019 - 16:44;Videos;
Moscu
/ 
Rabat;Rusia pone un pie en Libia con mercenarios que apoyan al general Hafter;Francisco Peregil;7;1 NOV 2019 - 20:02;Internacional;
Hangzhou;Un manifestante en Hong Kong en estado grave tras recibir un disparo de la policia;Jaime Santirso;17;1 NOV 2019 - 20:33;Internacional;
Paris;Francia, Alemania y Reino Unido instan a Iran a revertir violaciones del acuerdo nuclear;Silvia Ayuso;None;1 NOV 2019 - 22:05;Internacional;
Estambul;Turquia investiga la muerte de James Le Mesurier, impulsor de los cascos blancos de Siria;Andres Mourenza;7;1 NOV 2019 - 20:53;Internacional;
Londres;El ultra Farage allana el camino a Johnson al renunciar a competir en las circunscripciones tories;Rafa de Miguel;29;1 NOV 2019 - 20:03;Internacional;
Madrid;La Autoridad Fiscal evaluara el AVE con datos de moviles cedidos por Fomento;Antonio Maqueda;5;1 NOV 2019 - 21:07;Economia;
Llodio;La mujer despedida de Artiach: En 17 anos firme centenares de contratos;Pedro Gorospe;60;1 NOV 2019 - 00:41;Economia;
Antequera;Batalla por la marca del mollete de Antequera;Nacho Sanchez;19;1 NOV 2019 - 00:41;Economia;
Alicante;El jurado declara no culpable al acusado del asesinato de la viuda del expresidente de la CAM;Rafa Burgos;50;1 NOV 2019 - 08:07;Espana;
Barcelona;Un joven inmigrante extutelado por la Generalitat se suicida tras ser expulsado del centro de menores;Jessica Mouzo Quintans;224;1 NOV 2019 - 18:26;Cataluna;
Madrid;Detenido un joven por intentar matar a otro a cuchilladas en Puente de Vallecas;El Pais;None;1 NOV 2019 - 14:17;Madrid;
Madrid;El DNI de Franco que ya es de todos;Patricia Ortega Dolz;140;0 NOV 2019 - 11:20;Espana;
A Coruna;La Fiscalia insta a prohibir la caza de la tortola en toda Espana;Sonia Vizoso;6;1 NOV 2019 - 19:23;Sociedad;
None;El nino adoptado que volvio a Nepal para ayudar a su pueblo;Pepo Jimenez;None;1 NOV 2019 - 12:07;Pienso, Luego Actuo;
Malaga;Los padres del nino Gabriel piden la nulidad y repeticion del juicio contra Quezada;Nacho Sanchez;None;1 NOV 2019 - 17:30;Sociedad;
Valencia;Un hombre se enfrenta a 111 anos de carcel por violar a siete ninos de su congregacion de Testigos de Jehova;Ignacio Zafra;20;1 NOV 2019 - 14:52;Sociedad;
Erevan (Armenia);El activista yazidi que libro del ISIS a miles de personas;Megan Iacobini de Fazio;1;1 NOV 2019 - 00:00;Planeta Futuro;
None;Debe implantarse una asignatura de valores civicos en la escuela?;El Pais;None;1 NOV 2019 - 19:32;Sociedad;
Madrid;Bernardo Atxaga, premio Nacional de las Letras;Javier Rodriguez Marcos;None;1 NOV 2019 - 20:53;Cultura;
Paris;Christian Salmon: Una sociedad pilotada por medias verdades va directa al abismo;Alex Vicente;9;1 NOV 2019 - 00:41;Cultura;
Burgos;El dibujo contemporaneo, en seis lineas;Silvia Hernando;None;1 NOV 2019 - 18:27;Cultura;
Madrid;Muere con 13 anos la actriz Laurel Griggs de un ataque de asma;El Pais;None;1 NOV 2019 - 13:35;Cultura;
None;La primavera llega antes a las ciudades;Miguel Angel Criado;3;1 NOV 2019 - 17:35;Ciencia;
None;Transito de Mercurio: el planeta camina este lunes sobre el Sol;Agathe Cortes;8;1 NOV 2019 - 19:43;Ciencia;
None;BepiColombo: el desafio de hacer funcionar un ordenador en un horno;Raul Limon;3;1 NOV 2019 - 11:52;Tecnologia;
None;Espana presenta su nueva camiseta para la Eurocopa 2020;Agencias;None;1 NOV 2019 - 13:05;Deportes;
None;Guardiola: Es uno de los partidos de los que estoy mas orgulloso;Diego Torres;21;1 NOV 2019 - 14:46;Deportes;
Madrid;Los futbolistas no estan muy por la labor de ayudarnos;Lorenzo Calonge;16;1 NOV 2019 - 14:32;Deportes;
None;Salvar el valle de Yosemite;Oscar Gogorza;None;0 NOV 2019 - 23:40;Deportes;
Londres;3.500 euros para el, 500 para ella: la brecha salarial que sacude a la BBC;Rafa de Miguel;5;1 NOV 2019 - 00:41;Television;
Madrid;La television sigue siendo bipartidista;Tom C. Avendano;None;1 NOV 2019 - 21:03;Television;
Madrid;La nueva gran plataforma de television britanica elimina los programas clasicos incorrectos;El Pais;None;1 NOV 2019 - 00:41;Television;
None;15 mesas de centro para todos los bolsillos y tipos de salon;Victoria Zarate;None;1 NOV 2019 - 18:20;Icon Design;
None;Los secretos de la recuperacion, la fase olvidada del ejercicio fisico;Eduardo Salete;1;1 NOV 2019 - 07:49;BuenaVida;
None;El crepusculo de los dioses: por que Al Pacino y Robert de Niro llevan 25 anos malgastando su talento;Carlos Megia;13;1 NOV 2019 - 15:26;Icon;
Madrid;Albert Rivera y Malu, un ano de discreta relacion;Mabel Galaz;3;1 NOV 2019 - 17:21;Gente;
Sao Paulo;Lula anuncia su boda tras salir de prision;Joana Oliveira;2;1 NOV 2019 - 14:06;Gente;
Madrid;Ed Sheeran, emparentado con un sicario que mato a 25 personas;El Pais;None;1 NOV 2019 - 17:29;Gente;
Madrid;El viaje secreto de Meghan Markle con su hijo Archie;El Pais;None;1 NOV 2019 - 12:51;Gente;
Madrid;Miley Cyrus, operada de las cuerdas vocales;El Pais;None;1 NOV 2019 - 13:06;Gente;
Madrid;Los esplendidos 45 anos de Leonardo DiCaprio;El Pais;None;1 NOV 2019 - 12:48;Gente;
None;Por que los bebes tienen que pasar tiempo en el suelo;Ruth Alfonso Arias;5;1 NOV 2019 - 09:40;e mamas y de papas;
None;El nuevo Pakta, la taberna japomediterranea de Albert Adria;Jose Carlos Capel;None;1 NOV 2019 - 14:19;astronotas De-Capel;
Wroclaw;La maquina mas eficiente es aquella que esta apagada;Isabel de Felipe;4; NOV 2019 - 00:21;eres Urbanos;
Jerusalen;Los secretos arquitectonicos mejor escondidos de Jerusalen;Miriam Blanco;1;1 NOV 2019 - 11:58;undo Global;
Madrid;Las mujeres mayores sufren mas dolor cronico que los hombres de su misma edad;El Pais;None;1 NOV 2019 - 00:41;esenta y tantos;
Madrid;Aparece un barco de hace mas de 100 anos en las Cataratas del Niagara;El Pais;2;1 NOV 2019 - 09:53;Videos;
None;Las imagenes del dia, 11/11/2019;El Pais;None;1 NOV 2019 - 20:46					;Fotografia;
Madrid;Las mejores ofertas de Xiaomi en el 11.11 de AliExpress;EL PAIS Escaparate;None;1 NOV 2019 - 14:52;Escaparate;
Madrid;Las mejores ofertas en hogar y cuidado personal del 11.11;EL PAIS Escaparate;None;1 NOV 2019 - 09:03;Escaparate;
Madrid;Las mejores ofertas en tecnologia del 11.11;EL PAIS Escaparate;None;1 NOV 2019 - 09:02;Escaparate;
Saint Louis (Senegal);Nacer y existir (o no) en los papeles;Alejandra Agudo;None;1 NOV 2019 - 00:00;Planeta Futuro;
None;Viva La Habana! Javier Mariscal dibuja sus 500 anos;Ilustraciones de Javier Mariscal;100;0 NOV 2019 - 00:03;El Pais Semanal;
None;Seis libros de la semana;Babelia;None;1 NOV 2019 - 10:59;Babelia;
None;Atracones de series y aislamiento: asi cambio Netflix nuestra forma de ver la tele;Tom C. Avendano;None;0 NOV 2019 - 00:00;Ideas;
None;Pase seis meses de oscuridad: por que Brad Pitt casi abandona la pelicula que lo convirtio en estrella;Guillermo Alonso;None;1 NOV 2019 - 17:29;Icon;
None;Deslices y trucos: lo que esconden los carteles de la campana del 10-N;Esperanza Balaguer;None; NOV 2019 - 18:34;Icon Design;
None;Comer animales atropellados o como aprovechar una carne de primera y reducir el dolor por ley;Andres Masa;None;0 NOV 2019 - 13:04;BuenaVida;
